Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
Mali,2015-05-13,0.0,1.0,7.0,8.0,,,,6.0
Guinea,2015-05-13,11.0,415.0,3173.0,3599.0,,415.0,1976.0,2391.0
United States of America,2015-05-13,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Nigeria,2015-05-14,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2015-05-14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-05-14,5574.0,1879.0,3151.0,10604.0,,,,4769.0
United States of America,2015-05-14,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Mali,2015-05-14,0.0,1.0,7.0,8.0,,,,6.0
Guinea,2015-05-14,9.0,419.0,3187.0,3615.0,,419.0,1980.0,2399.0
Senegal,2015-05-14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-05-14,0.0,0.0,1.0,1.0,,,,0.0
Sierra Leone,2015-05-14,3652.0,287.0,8597.0,12536.0,158.0,208.0,3538.0,3904.0
Italy,2015-05-14,0.0,0.0,1.0,1.0,,,,0.0
Mali,2015-05-15,0.0,1.0,7.0,8.0,,,,6.0
Guinea,2015-05-15,11.0,419.0,3189.0,3619.0,,419.0,1982.0,2401.0
Sierra Leone,2015-05-15,3655.0,287.0,8598.0,12540.0,158.0,208.0,3538.0,3904.0
Nigeria,2015-05-15,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United Kingdom,2015-05-15,0.0,0.0,1.0,1.0,,,,0.0
Italy,2015-05-15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2015-05-15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-05-15,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Senegal,2015-05-15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-05-15,5574.0,1879.0,3151.0,10604.0,,,,4769.0
Nigeria,2015-05-18,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2015-05-18,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-05-18,3703.0,287.0,8603.0,12593.0,158.0,208.0,3540.0,3906.0
United Kingdom,2015-05-18,0.0,0.0,1.0,1.0,,,,0.0
Liberia,2015-05-18,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Senegal,2015-05-18,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Italy,2015-05-18,0.0,0.0,1.0,1.0,,,,0.0
Mali,2015-05-18,0.0,1.0,7.0,8.0,,,,6.0
United States of America,2015-05-18,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Guinea,2015-05-18,12.0,419.0,3195.0,3626.0,,419.0,1986.0,2405.0
Mali,2015-05-19,0.0,1.0,7.0,8.0,,,,6.0
Italy,2015-05-19,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-05-19,15.0,419.0,3201.0,3635.0,,419.0,1988.0,2407.0
Sierra Leone,2015-05-19,3740.0,287.0,8605.0,12632.0,158.0,208.0,3541.0,3907.0
Spain,2015-05-19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-05-19,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United Kingdom,2015-05-19,0.0,0.0,1.0,1.0,,,,0.0
United States of America,2015-05-19,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Liberia,2015-05-19,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Senegal,2015-05-19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2015-05-20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-05-20,0.0,0.0,1.0,1.0,,,,0.0
Sierra Leone,2015-05-20,3740.0,287.0,8605.0,12632.0,158.0,208.0,3541.0,3907.0
Senegal,2015-05-20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-05-20,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Italy,2015-05-20,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-05-20,15.0,415.0,3201.0,3635.0,,419.0,1988.0,2407.0
Mali,2015-05-20,0.0,1.0,7.0,8.0,,,,6.0
Liberia,2015-05-20,5636.0,1879.0,3151.0,10666.0,,,,4806.0
United States of America,2015-05-20,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Liberia,2015-05-21,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Italy,2015-05-21,0.0,0.0,1.0,1.0,,,,0.0
Spain,2015-05-21,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-05-21,3762.0,287.0,8607.0,12656.0,158.0,208.0,3541.0,3907.0
Nigeria,2015-05-21,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2015-05-21,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-05-21,0.0,1.0,7.0,8.0,,,,6.0
United Kingdom,2015-05-21,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-05-21,26.0,419.0,3204.0,3649.0,,419.0,1990.0,2409.0
United States of America,2015-05-21,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Spain,2015-05-22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-05-22,0.0,1.0,7.0,8.0,,,,6.0
Liberia,2015-05-22,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Italy,2015-05-22,0.0,0.0,1.0,1.0,,,,0.0
United States of America,2015-05-22,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Sierra Leone,2015-05-22,3771.0,287.0,8608.0,12666.0,158.0,208.0,3541.0,3907.0
Guinea,2015-05-22,23.0,419.0,3205.0,3647.0,,419.0,1993.0,2412.0
Nigeria,2015-05-22,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United Kingdom,2015-05-22,0.0,0.0,1.0,1.0,,,,0.0
Senegal,2015-05-22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-05-25,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Italy,2015-05-25,0.0,0.0,1.0,1.0,,,,0.0
United Kingdom,2015-05-25,0.0,0.0,1.0,1.0,,,,0.0
United States of America,2015-05-25,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Mali,2015-05-25,0.0,1.0,7.0,8.0,,,,6.0
Spain,2015-05-25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Senegal,2015-05-25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-05-25,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Guinea,2015-05-25,13.0,419.0,3208.0,3640.0,,419.0,1999.0,2418.0
Sierra Leone,2015-05-25,3801.0,287.0,8608.0,12696.0,158.0,208.0,3542.0,3908.0
Nigeria,2015-05-26,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2015-05-26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-05-26,12.0,419.0,3210.0,3641.0,,419.0,2001.0,2420.0
Mali,2015-05-26,0.0,1.0,7.0,8.0,,,,6.0
Italy,2015-05-26,0.0,0.0,1.0,1.0,,,,0.0
Spain,2015-05-26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Sierra Leone,2015-05-26,3811.0,287.0,8608.0,12706.0,158.0,208.0,3542.0,3908.0
United Kingdom,2015-05-26,0.0,0.0,1.0,1.0,,,,0.0
Liberia,2015-05-26,5636.0,1879.0,3151.0,10666.0,,,,4806.0
United States of America,2015-05-26,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Mali,2015-05-27,0.0,1.0,7.0,8.0,,,,6.0
Italy,2015-05-27,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-05-27,12.0,419.0,3210.0,3641.0,,419.0,2001.0,2420.0
Nigeria,2015-05-27,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Sierra Leone,2015-05-27,3811.0,287.0,8608.0,12706.0,158.0,208.0,3542.0,3908.0
United States of America,2015-05-27,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Liberia,2015-05-27,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Spain,2015-05-27,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-05-27,0.0,0.0,1.0,1.0,,,,0.0
Senegal,2015-05-27,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Italy,2015-05-28,0.0,0.0,1.0,1.0,,,,0.0
Mali,2015-05-28,0.0,1.0,7.0,8.0,,,,6.0
United States of America,2015-05-28,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Liberia,2015-05-28,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Spain,2015-05-28,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Senegal,2015-05-28,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-05-28,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2015-05-28,6.0,419.0,3214.0,3639.0,,419.0,2004.0,2423.0
United Kingdom,2015-05-28,0.0,0.0,1.0,1.0,,,,0.0
Sierra Leone,2015-05-28,3837.0,287.0,8611.0,12735.0,158.0,208.0,3545.0,3911.0
Guinea,2015-05-29,9.0,419.0,3216.0,3644.0,,419.0,2006.0,2425.0
United Kingdom,2015-05-29,0.0,0.0,1.0,1.0,,,,0.0
Liberia,2015-05-29,5636.0,1879.0,3151.0,10666.0,,,,4806.0
United States of America,2015-05-29,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Italy,2015-05-29,0.0,0.0,1.0,1.0,,,,0.0
Sierra Leone,2015-05-29,3844.0,287.0,8614.0,12745.0,158.0,208.0,3545.0,3911.0
Nigeria,2015-05-29,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2015-05-29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Senegal,2015-05-29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-05-29,0.0,1.0,7.0,8.0,,,,6.0
United Kingdom,2015-06-01,0.0,0.0,1.0,1.0,,,,0.0
United States of America,2015-06-01,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Sierra Leone,2015-06-01,3911.0,287.0,8618.0,12816.0,158.0,208.0,3545.0,3911.0
Nigeria,2015-06-01,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2015-06-01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Senegal,2015-06-01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Italy,2015-06-01,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-06-01,14.0,419.0,3220.0,3653.0,,419.0,2009.0,2428.0
Liberia,2015-06-01,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Mali,2015-06-01,0.0,1.0,7.0,8.0,,,,6.0
Sierra Leone,2015-06-02,3920.0,287.0,8620.0,12827.0,158.0,208.0,3546.0,3912.0
Nigeria,2015-06-02,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2015-06-02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-06-02,10.0,419.0,3223.0,3652.0,,419.0,2010.0,2429.0
Mali,2015-06-02,0.0,1.0,7.0,8.0,,,,6.0
United States of America,2015-06-02,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Liberia,2015-06-02,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Spain,2015-06-02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Italy,2015-06-02,0.0,0.0,1.0,1.0,,,,0.0
United Kingdom,2015-06-02,0.0,0.0,1.0,1.0,,,,0.0
United States of America,2015-06-03,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
United Kingdom,2015-06-03,0.0,0.0,1.0,1.0,,,,0.0
Senegal,2015-06-03,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-06-03,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Sierra Leone,2015-06-03,3920.0,287.0,8620.0,12827.0,158.0,208.0,3546.0,3912.0
Italy,2015-06-03,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-06-03,10.0,419.0,3223.0,3652.0,,419.0,2010.0,2429.0
Spain,2015-06-03,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-06-03,0.0,1.0,7.0,8.0,,,,6.0
Liberia,2015-06-03,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Guinea,2015-06-04,11.0,419.0,3227.0,3657.0,,419.0,2012.0,2431.0
Sierra Leone,2015-06-04,3940.0,287.0,8623.0,12850.0,158.0,208.0,3546.0,3912.0
United States of America,2015-06-04,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Spain,2015-06-04,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-06-04,0.0,1.0,7.0,8.0,,,,6.0
Senegal,2015-06-04,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-06-04,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Nigeria,2015-06-04,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United Kingdom,2015-06-04,0.0,0.0,1.0,1.0,,,,0.0
Italy,2015-06-04,0.0,0.0,1.0,1.0,,,,0.0
United Kingdom,2015-06-05,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-06-05,17.0,419.0,3228.0,3664.0,,419.0,2012.0,2431.0
Italy,2015-06-05,0.0,0.0,1.0,1.0,,,,0.0
United States of America,2015-06-05,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Spain,2015-06-05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Senegal,2015-06-05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-06-05,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Nigeria,2015-06-05,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Mali,2015-06-05,0.0,1.0,7.0,8.0,,,,6.0
Sierra Leone,2015-06-05,3948.0,287.0,8624.0,12859.0,158.0,208.0,3546.0,3912.0
Senegal,2015-06-08,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-06-08,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Sierra Leone,2015-06-08,3967.0,287.0,8630.0,12884.0,158.0,208.0,3547.0,3913.0
United States of America,2015-06-08,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Spain,2015-06-08,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-06-08,13.0,419.0,3237.0,3669.0,,419.0,2016.0,2435.0
Liberia,2015-06-08,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Italy,2015-06-08,0.0,0.0,1.0,1.0,,,,0.0
Mali,2015-06-08,0.0,1.0,7.0,8.0,,,,6.0
United Kingdom,2015-06-08,0.0,0.0,1.0,1.0,,,,0.0
Sierra Leone,2015-06-09,3979.0,287.0,8635.0,12901.0,158.0,208.0,3549.0,3915.0
Spain,2015-06-09,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-06-09,5636.0,1879.0,3151.0,10666.0,,,,4806.0
United States of America,2015-06-09,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
United Kingdom,2015-06-09,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-06-09,12.0,419.0,3239.0,3670.0,,419.0,2018.0,2437.0
Mali,2015-06-09,0.0,1.0,7.0,8.0,,,,6.0
Nigeria,2015-06-09,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2015-06-09,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Italy,2015-06-09,0.0,0.0,1.0,1.0,,,,0.0
Mali,2015-06-10,0.0,1.0,7.0,8.0,,,,6.0
United Kingdom,2015-06-10,0.0,0.0,1.0,1.0,,,,0.0
Senegal,2015-06-10,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Italy,2015-06-10,0.0,0.0,1.0,1.0,,,,0.0
Spain,2015-06-10,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-06-10,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Liberia,2015-06-10,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Guinea,2015-06-10,12.0,419.0,3239.0,3670.0,,419.0,2018.0,2437.0
Nigeria,2015-06-10,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Sierra Leone,2015-06-10,3979.0,287.0,8635.0,12901.0,158.0,208.0,3549.0,3915.0
Italy,2015-06-11,0.0,0.0,1.0,1.0,,,,0.0
United States of America,2015-06-11,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Guinea,2015-06-11,12.0,419.0,3243.0,3674.0,,419.0,2021.0,2440.0
Spain,2015-06-11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-06-11,0.0,1.0,7.0,8.0,,,,6.0
Nigeria,2015-06-11,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2015-06-11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-06-11,5636.0,1879.0,3151.0,10666.0,,,,4806.0
United Kingdom,2015-06-11,0.0,0.0,1.0,1.0,,,,0.0
Sierra Leone,2015-06-11,3986.0,287.0,8638.0,12911.0,158.0,208.0,3551.0,3917.0
Liberia,2015-06-12,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Guinea,2015-06-12,15.0,419.0,3243.0,3677.0,,419.0,2021.0,2440.0
Nigeria,2015-06-12,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Mali,2015-06-12,0.0,1.0,7.0,8.0,,,,6.0
Spain,2015-06-12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-06-12,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Sierra Leone,2015-06-12,3998.0,287.0,8647.0,12932.0,158.0,208.0,3551.0,3917.0
United Kingdom,2015-06-12,0.0,0.0,1.0,1.0,,,,0.0
Italy,2015-06-12,0.0,0.0,1.0,1.0,,,,0.0
Senegal,2015-06-12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2015-06-15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-06-15,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Mali,2015-06-15,0.0,1.0,7.0,8.0,,,,6.0
Guinea,2015-06-15,9.0,419.0,3249.0,3677.0,,419.0,2024.0,2443.0
Liberia,2015-06-15,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Italy,2015-06-15,0.0,0.0,1.0,1.0,,,,0.0
Sierra Leone,2015-06-15,4026.0,287.0,8649.0,12962.0,158.0,208.0,3553.0,3919.0
Nigeria,2015-06-15,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United Kingdom,2015-06-15,0.0,0.0,1.0,1.0,,,,0.0
Senegal,2015-06-15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Guinea,2015-06-16,10.0,419.0,3249.0,3678.0,,419.0,2025.0,2444.0
Liberia,2015-06-16,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Mali,2015-06-16,0.0,1.0,7.0,8.0,,,,6.0
United Kingdom,2015-06-16,0.0,0.0,1.0,1.0,,,,0.0
Sierra Leone,2015-06-16,4029.0,287.0,8649.0,12965.0,158.0,208.0,3553.0,3919.0
United States of America,2015-06-16,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Senegal,2015-06-16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Italy,2015-06-16,0.0,0.0,1.0,1.0,,,,0.0
Nigeria,2015-06-16,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2015-06-16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-06-17,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Sierra Leone,2015-06-17,4029.0,287.0,8649.0,12965.0,158.0,208.0,3553.0,3919.0
Nigeria,2015-06-17,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United Kingdom,2015-06-17,0.0,0.0,1.0,1.0,,,,0.0
Italy,2015-06-17,0.0,0.0,1.0,1.0,,,,0.0
Senegal,2015-06-17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Spain,2015-06-17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-06-17,0.0,1.0,7.0,8.0,,,,6.0
Guinea,2015-06-17,10.0,419.0,3245.0,3674.0,,419.0,2025.0,2444.0
Liberia,2015-06-17,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Sierra Leone,2015-06-18,4052.0,287.0,8651.0,12990.0,158.0,208.0,3556.0,3922.0
Liberia,2015-06-18,5636.0,1879.0,3151.0,10666.0,,,,4806.0
United States of America,2015-06-18,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Italy,2015-06-18,0.0,0.0,1.0,1.0,,,,0.0
Senegal,2015-06-18,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-06-18,0.0,0.0,1.0,1.0,,,,0.0
Spain,2015-06-18,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-06-18,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2015-06-18,10.0,419.0,3246.0,3675.0,,419.0,2026.0,2445.0
Mali,2015-06-18,0.0,1.0,7.0,8.0,,,,6.0
Mali,2015-06-19,0.0,1.0,7.0,8.0,,,,6.0
Sierra Leone,2015-06-19,4071.0,287.0,8654.0,13012.0,158.0,208.0,3560.0,3926.0
Nigeria,2015-06-19,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2015-06-19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-06-19,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Senegal,2015-06-19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-06-19,0.0,0.0,1.0,1.0,,,,0.0
Italy,2015-06-19,0.0,0.0,1.0,1.0,,,,0.0
Liberia,2015-06-19,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Guinea,2015-06-19,8.0,419.0,3247.0,3674.0,,419.0,2027.0,2446.0
Liberia,2015-06-22,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Spain,2015-06-22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-06-22,0.0,0.0,1.0,1.0,,,,0.0
Italy,2015-06-22,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-06-22,16.0,428.0,3254.0,3698.0,,428.0,2028.0,2456.0
Sierra Leone,2015-06-22,4107.0,287.0,8657.0,13051.0,158.0,208.0,3562.0,3928.0
Mali,2015-06-22,0.0,1.0,7.0,8.0,,,,6.0
United States of America,2015-06-22,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Nigeria,2015-06-22,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2015-06-22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Italy,2015-06-23,0.0,0.0,1.0,1.0,,,,0.0
Sierra Leone,2015-06-23,4115.0,287.0,8657.0,13059.0,158.0,208.0,3562.0,3928.0
Liberia,2015-06-23,5636.0,1879.0,3151.0,10666.0,,,,4806.0
United Kingdom,2015-06-23,0.0,0.0,1.0,1.0,,,,0.0
Nigeria,2015-06-23,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Senegal,2015-06-23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United States of America,2015-06-23,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Spain,2015-06-23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-06-23,0.0,1.0,7.0,8.0,,,,6.0
Guinea,2015-06-23,18.0,443.0,3257.0,3718.0,,443.0,2030.0,2473.0
United States of America,2015-06-24,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Sierra Leone,2015-06-24,4115.0,287.0,8657.0,13059.0,158.0,208.0,3562.0,3928.0
Senegal,2015-06-24,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-06-24,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-06-24,18.0,443.0,3257.0,3718.0,,443.0,2030.0,2473.0
Liberia,2015-06-24,5636.0,1879.0,3151.0,10666.0,,,,4806.0
Mali,2015-06-24,0.0,1.0,7.0,8.0,,,,6.0
Italy,2015-06-24,0.0,0.0,1.0,1.0,,,,0.0
Nigeria,2015-06-24,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Spain,2015-06-24,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Nigeria,2015-06-25,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Sierra Leone,2015-06-25,4136.0,287.0,8660.0,13083.0,158.0,208.0,3565.0,3931.0
Senegal,2015-06-25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Mali,2015-06-25,0.0,1.0,7.0,8.0,,,,6.0
Spain,2015-06-25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-06-25,0.0,0.0,1.0,1.0,,,,0.0
Liberia,2015-06-25,5636.0,1879.0,3151.0,10666.0,,,,4806.0
United States of America,2015-06-25,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Guinea,2015-06-25,11.0,443.0,3264.0,3718.0,,443.0,2037.0,2480.0
Italy,2015-06-25,0.0,0.0,1.0,1.0,,,,0.0
Guinea,2015-06-26,11.0,443.0,3266.0,3720.0,,443.0,2037.0,2480.0
Spain,2015-06-26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Senegal,2015-06-26,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Italy,2015-06-26,0.0,0.0,1.0,1.0,,,,0.0
Sierra Leone,2015-06-26,4144.0,287.0,8662.0,13093.0,158.0,208.0,3565.0,3931.0
Liberia,2015-06-26,5636.0,1879.0,3151.0,10666.0,,,,4806.0
United Kingdom,2015-06-26,0.0,0.0,1.0,1.0,,,,0.0
Mali,2015-06-26,0.0,1.0,7.0,8.0,,,,6.0
Nigeria,2015-06-26,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
United States of America,2015-06-26,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
Senegal,2015-06-29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
United Kingdom,2015-06-29,0.0,0.0,1.0,1.0,,,,0.0
Nigeria,2015-06-29,0.0,1.0,19.0,20.0,0.0,1.0,7.0,8.0
Guinea,2015-06-29,13.0,443.0,3268.0,3724.0,,443.0,2039.0,2482.0
Sierra Leone,2015-06-29,4164.0,287.0,8664.0,13115.0,158.0,208.0,3566.0,3932.0
Mali,2015-06-29,0.0,1.0,7.0,8.0,,,,6.0
Spain,2015-06-29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Liberia,2015-06-29,5636.0,1879.0,3151.0,10666.0,,,,4806.0
United States of America,2015-06-29,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0
